Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,ETFdb Pro Tools,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF,Equity,"$290,672,951,767.00",9.31%,"68,200,640",$346.85,0.89%,No,No,3.90%,4.24%,20.57%,44.34%,90.18%,"-$27,509,518,887.00","$208,515,365.00","$2,715,764,614.50","-$16,642,809,189.00","-$19,541,000,698.00","$4,269,272,815.77",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$5.68,2020-09-18,$1.34,1.65%,24.17,1.00,506,27.95%,35%,15%,1099,$322.40,$346.35,$345.38,$347.84,58.88,A,A+,A,B+,B,A-,B+,6.66,68.37%,72.68%,154.36,11.80%,5.96%
IVV,iShares Core S&P 500 ETF,Equity,"$212,989,665,335.00",9.28%,"3,464,265",$348.01,0.88%,No,No,3.87%,4.24%,20.70%,44.87%,90.23%,"$8,134,786,548.50","-$36,012,360.00","$4,358,426,264.00","$7,285,475,886.00","$41,631,297,124.00","$81,162,497,864.50",Large Cap Growth Equities,2000-05-15,0.04%,3 Platforms,$6.77,2020-09-23,$1.51,1.96%,22.64,1.00,506,27.90%,35%,15%,1099,$323.52,$347.65,$346.55,$349.00,58.84,A,A,A,A-,B,A,A-,6.66,68.22%,72.66%,154.89,11.77%,5.95%
VTI,Vanguard Total Stock Market ETF,Equity,"$161,857,601,694.00",9.85%,"2,995,170",$177.32,0.84%,No,No,4.07%,5.28%,21.26%,43.01%,88.18%,"$19,777,839,585.41","$1,118,626,320.86","$3,361,875,996.46","$25,033,617,597.94","$47,471,186,201.74","$61,228,734,403.44",Large Cap Growth Equities,2001-05-31,0.03%,2 Platforms,$2.87,2020-09-25,$0.67,1.63%,22.50,1.04,1567,22.94%,35%,15%,1099,$163.54,$176.94,$176.63,$177.82,60.26,A+,A+,A,B+,B+,A-,A+,6.19,36.52%,56.72%,149.18,10.47%,6.66%
VOO,Vanguard S&P 500 ETF,Equity,"$159,939,700,929.00",9.23%,"3,193,155",$318.58,0.89%,No,No,3.87%,4.22%,20.55%,44.54%,90.79%,"$26,130,066,498.80","$998,272,510.96","$2,309,307,681.20","$25,250,518,242.00","$57,278,440,209.48","$82,290,013,997.40",Large Cap Growth Equities,2010-09-09,0.03%,Vanguard,$5.35,2020-09-29,$1.31,1.69%,23.10,1.00,504,27.97%,35%,15%,1099,$296.17,$318.24,$317.25,$319.50,58.87,A,A,A,B+,B,A-,A-,6.66,69.02%,72.78%,154.91,11.81%,5.97%
QQQ,Invesco QQQ,Equity,"$133,481,264,464.00",35.10%,"46,529,676",$285.71,1.53%,No,No,4.16%,5.80%,52.56%,98.19%,181.84%,"$15,103,811,694.00","$2,372,481,303.50","$1,556,566,570.00","$17,888,636,332.50","$25,953,224,941.00","$28,315,008,534.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.63,2020-09-21,$0.39,0.58%,30.85,1.05,104,56.18%,35%,15%,1099,$263.22,$285.97,$283.68,$286.76,56.53,A-,A+,A-,A-,C+,B,B,7.19,91.17%,84.30%,39.16,11.87%,10.53%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$80,921,313,214.00",6.57%,"6,071,221",$117.72,0.03%,No,No,-0.15%,-0.38%,6.53%,16.27%,20.65%,"$6,633,867,417.18","$283,569,046.00","$1,620,435,582.00","$10,301,408,613.18","$23,997,659,880.18","$47,863,257,892.18",Total Bond Market,2003-09-22,0.05%,2 Platforms,$2.70,2020-10-01,$0.20,2.29%,0.00,-0.01,9241,7.73%,35%,15%,1099,$117.52,$118.35,$117.57,$117.81,45.37,A+,A+,A,A-,A-,B+,A,6.12,69.14%,54.53%,261.96,2.94%,0.97%
BND,Vanguard Total Bond Market ETF,Bond,"$62,499,019,719.00",6.69%,"4,761,509",$87.94,0.02%,No,No,-0.18%,-0.37%,6.71%,16.58%,22.25%,"$11,005,835,000.00","$17,590,000.00","$1,635,430,000.00","$14,325,218,000.00","$22,622,533,481.00","$31,634,777,945.48",Total Bond Market,2007-04-10,0.04%,2 Platforms,$2.07,2020-10-01,$0.15,2.35%,0.00,0.02,108,45.56%,35%,15%,1099,$87.78,$88.45,$87.82,$88.00,45.46,A,A,A,A-,B+,B+,A+,6.07,60.49%,52.66%,297.61,3.41%,1.02%
VUG,Vanguard Growth ETF,Equity,"$60,166,261,819.00",30.09%,"982,986",$235.43,1.50%,No,No,4.03%,5.96%,43.49%,80.91%,138.39%,"$1,722,476,653.86","-$107,188,550.82","-$184,247,896.84","$2,355,458,068.75","$6,887,444,593.58","$11,025,667,375.34",Large Cap Growth Equities,2004-01-30,0.04%,2 Platforms,$1.73,2020-09-25,$0.41,0.75%,35.20,1.04,254,45.43%,35%,15%,1099,$216.54,$234.99,$233.82,$236.24,58.47,A-,A,A,B,B+,A-,A,6.89,81.11%,78.39%,48.75,9.91%,7.36%
IWF,iShares Russell 1000 Growth ETF,Equity,"$57,799,255,060.00",28.33%,"1,712,389",$224.19,1.52%,No,No,4.17%,6.19%,42.35%,82.46%,145.94%,"-$2,942,646,102.00","-$210,022,036.50","-$786,195,159.00","-$2,885,712,596.00","-$5,544,050,686.50","-$5,517,095,289.50",Large Cap Growth Equities,2000-05-22,0.19%,TD Ameritrade,$1.67,2020-09-23,$0.43,0.76%,36.94,1.02,446,44.41%,35%,15%,1099,$205.96,$223.67,$222.58,$225.03,58.52,A+,A,A-,A-,A,A-,A,6.86,79.38%,77.75%,31.08,10.00%,8.03%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$55,311,679,644.00",7.73%,"11,232,391",$134.93,0.23%,No,No,0.09%,-0.11%,9.59%,23.18%,34.75%,"$15,441,617,741.00","-$26,358,107.00","-$1,505,756,600.00","$14,271,154,031.00","$11,252,780,514.00","$25,733,192,877.00",Corporate Bonds,2002-07-26,0.15%,2 Platforms,$3.86,2020-10-01,$0.29,2.87%,0.00,0.20,2323,3.94%,35%,15%,1099,$133.77,$135.94,$134.59,$135.12,49.98,A-,A+,B+,B-,B-,A-,A,5.24,45.63%,34.26%,145.24,10.81%,2.97%
